permno,start,ending
82307,2008-07-31,2024-12-31
82581,2015-03-18,2024-12-31
82598,1999-06-25,2024-12-31
82642,2006-01-05,2024-12-31
82651,2002-01-02,2024-12-31
82686,1999-12-01,2022-09-30
82775,1995-12-20,2024-12-31
83111,2012-05-25,2021-07-20
83143,2009-01-06,2024-12-31
83443,2010-02-16,2024-12-31
83621,2017-06-19,2024-12-31
83862,2004-04-01,2020-10-06
83906,2008-11-19,2018-11-30
84032,2005-03-14,2021-09-17
84129,2001-06-25,2024-03-15
84373,2002-12-12,2024-12-31
84381,1996-12-09,2024-12-31
84767,2017-03-20,2024-12-31
84769,2008-09-30,2024-12-31
84788,2005-11-21,2024-12-31
85035,2015-06-12,2024-12-20
85058,2006-04-03,2024-12-31
85072,2007-02-02,2024-12-31
85257,2013-09-23,2024-12-31
85265,2015-03-23,2021-03-19
85269,2004-04-29,2024-12-31
85348,1997-10-07,2024-12-31
85459,2007-03-02,2024-12-31
85592,2011-06-03,2024-12-31
85593,2014-07-01,2019-12-20
85621,2016-09-06,2024-12-31
85631,1989-12-21,2024-12-31
85663,2014-09-22,2024-12-31
85675,2016-12-02,2018-10-10
85753,2006-02-01,2024-12-31
85792,2009-07-01,2024-12-31
85913,1998-05-21,2024-12-31
85914,1999-06-30,2024-12-31
85926,1998-04-01,2023-12-15
86021,2004-12-01,2019-06-28
86111,2007-11-19,2024-12-31
86136,1998-06-30,2024-12-31
86158,2006-11-17,2024-12-31
86228,2008-12-05,2024-12-31
86314,2001-09-04,2018-09-14
86339,2012-03-14,2024-12-31
86356,2002-07-22,2024-12-31
86580,2001-11-30,2024-12-31
86783,2009-11-06,2024-12-31
86868,2002-07-22,2024-12-31
86964,2010-12-20,2024-12-31
86979,2006-06-02,2024-12-31
86996,2017-09-01,2024-12-31
87055,1993-10-22,2024-12-31
87137,2000-08-30,2024-12-31
87184,2009-07-27,2019-07-12
87267,2011-04-04,2024-12-31
87299,2007-07-12,2024-12-31
87432,2000-06-05,2024-12-31
87447,2002-07-22,2024-12-31
87541,2017-07-26,2024-12-31
87657,2011-04-01,2024-12-31
87717,2007-10-10,2024-12-31
87842,2000-12-11,2024-12-31
88031,2012-06-29,2024-12-31
88352,2008-06-02,2024-12-31
88446,2015-11-19,2024-06-21
88661,2004-09-01,2024-12-31
88668,2002-08-14,2018-06-06
88837,2012-12-12,2024-12-31
88845,2000-12-14,2018-11-30
88853,2000-12-22,2019-06-03
88860,2017-06-19,2024-12-31
88873,2016-04-25,2024-12-31
89002,2013-12-23,2020-06-19
89003,2006-11-10,2024-12-31
89006,2007-04-02,2024-12-31
89014,2001-07-02,2018-11-30
89017,2016-01-05,2024-12-31
89070,2001-08-07,2024-12-31
89071,2011-07-06,2024-12-31
89179,2002-07-25,2024-12-31
89195,2002-07-22,2024-12-31
89216,2016-05-03,2018-06-15
89217,2015-07-09,2023-08-24
89258,2002-07-22,2024-12-31
89269,2016-03-30,2024-12-31
89393,2010-12-20,2024-12-31
89508,2010-06-28,2024-12-31
89509,2014-06-23,2020-03-02
89525,2002-11-19,2024-12-31
89533,2008-11-14,2024-12-31
89617,2015-03-23,2024-12-31
89626,2006-08-11,2024-12-31
89641,2012-07-02,2024-12-31
89866,2016-05-23,2024-12-31
90038,2007-04-10,2024-12-31
90071,2010-01-29,2024-12-31
90199,2006-11-10,2024-12-31
90215,2008-09-15,2024-12-31
90305,2016-01-19,2024-12-31
90319,2006-04-03,2024-12-31
90373,2016-05-18,2024-12-31
90386,2011-09-26,2024-12-31
90441,2004-12-20,2019-03-19
90442,2015-09-21,2019-03-19
