gvkey,fyear,net_tone,strong_modality,inverse_hedging,n_calls_used,z_net_tone,z_strong_modality,z_inverse_hedging,overconfidence,overconfidence_pca
006216,2020,15.524949964277514,3.947115799354704,-4.791528151045905,4,0.02393901735884661,-1.012455833030694,0.5833520605491724,-0.135054918374225,0.7259040545884823
006216,2021,14.496730189964984,3.1636337706085826,-3.8824838414896163,4,-0.12921308288783895,-1.3700780637885739,0.9698551828607691,-0.17647865460521453,0.9955030588398923
006216,2022,15.641344477401631,2.6969900079534046,-5.265353096433412,4,0.04127584027111502,-1.5830787163205435,0.38189343097941864,-0.38663648169000325,0.7807082917994104
006304,2018,15.09329822449999,4.7063068011248825,-5.080787906672055,3,-0.04035499076433299,-0.6659212991641383,0.46036597776607185,-0.08197010405413317,0.4914761592221264
006304,2019,14.688387468096366,3.7142659702413723,-5.497284708268651,4,-0.10066596153626835,-1.1187406899435821,0.2832818548497177,-0.31204159887671096,0.473758399162577
006304,2020,18.11533907563457,5.55046007189279,-6.265784301747082,4,0.4097743638203834,-0.2806055360486543,-0.04346513564581416,0.02856789737530498,0.33317964647984205
006304,2021,17.960476600026723,3.7508887896045042,-5.8402606194095625,4,0.3867077841053606,-1.1020241171611194,0.13745699335497819,-0.19261977990026022,0.6968697331697196
006304,2022,9.548495319573743,3.479988957363238,-5.270822251701005,4,-0.8662467228224459,-1.2256769882717724,0.37956808163713684,-0.570785209819027,0.05919505890163333
006435,2018,7.484436343969683,3.725561789757405,-12.114435768361098,3,-1.1736858278115898,-1.1135846863272298,-2.530166861177756,-1.6058124584388587,-2.140373414013883
006435,2019,31.516698174411587,2.6836042152172177,-8.573460973953544,4,2.405890703354894,-1.5891886931714982,-1.0246320927645354,-0.06931002752704647,1.420017230684505
006435,2020,17.409305305276984,5.156960171485919,-8.217027772854719,4,0.3046114818405591,-0.46021949913051696,-0.8730855249328131,-0.34289784740759033,-0.23939619133664358
006435,2021,15.172363673304057,5.127913796849323,-9.89427634729629,4,-0.028578287141427204,-0.4734777857431566,-1.5862100713377763,-0.6960887147407867,-0.9384431082186169
006435,2022,14.738916372369388,2.5311333075949825,-8.014904588485278,3,-0.09313974194206615,-1.658784400678417,-0.7871477537712699,-0.8463572987972509,-0.07247891675301278
006669,2018,10.68788878574578,5.706750658444019,-5.093172705515748,4,-0.696535434719404,-0.2092663270327707,0.4551002680839718,-0.15023383122273432,-0.0947353960475368
006669,2019,11.053027926105461,6.5971168661935184,-4.720859597193096,4,-0.6421483983820181,0.1971434408037658,0.6133985791030238,0.056131207174923814,-0.07908947246480764
006669,2020,12.787213556710956,4.610822260735605,-8.155208935104948,2,-0.38384353187385256,-0.7095054441528287,-0.8468016864479512,-0.6467168874915442,-0.6048077183209036
006669,2021,0.9382697079353348,6.793456312785861,-5.1067321377666675,4,-2.1487294847416014,0.28676304699753297,0.4493351333741896,-0.47087710145662626,-1.2268846359911527
006669,2022,1.8039548583723393,6.965183189051243,-4.593068113395879,4,-2.01978672147833,0.3651481870745729,0.6677323524661336,-0.32896872731254106,-1.0180640180254878
007343,2018,19.82646516290276,7.612181371687139,-4.00991819966555,3,0.6646445390484685,0.6604720424804763,0.9156732504654013,0.7469299439981154,0.8546410229851038
007343,2019,16.10356066275593,9.960965062139366,-5.1165324170368764,4,0.11012238584776646,1.7325799302536566,0.4451682973931028,0.7626235378315087,-0.16944575075327095
007343,2020,15.725624002628168,8.272038784968627,-6.832533978316904,4,0.05382917431379827,0.9616655242218635,-0.2844330590578687,0.2436872131592643,-0.456695196037446
007343,2021,19.299147728011132,7.9791297185633905,-6.811158117810553,2,0.5861012405553581,0.8279664859622482,-0.2753445726761275,0.37957438461382625,-0.05210799765528813
007985,2018,18.341831260678447,6.827610657536144,-3.7972651238108326,3,0.44351010271153934,0.30235287868673905,1.0060880706485131,0.5839836840155972,0.8795615502791085
007985,2019,15.267894977056,5.1663818925519625,-4.926740106302354,4,-0.014349014203453938,-0.45591893219778273,0.5258632865355253,0.018531780044762875,0.4871849681374185
007985,2020,8.740998553947222,6.935631938774284,-6.938634479248083,4,-0.9865223960663232,0.35165944877812005,-0.3295443638178554,-0.3214691037020195,-0.9928825669544071
007985,2021,8.67271082060495,4.9050018965395275,-5.536442700955665,4,-0.9966937719178012,-0.5752264514768782,0.26663284634938084,-0.4350957923484329,-0.3080081861312604
007985,2022,7.01957108890564,5.564299412283645,-7.416302341763853,3,-1.2429269491393435,-0.27428853629472766,-0.532636906556906,-0.683284130663659,-1.1052281556228467
008543,2018,6.4066546834405385,3.932030204939419,-8.604557811107128,3,-1.3342201114745946,-1.0193416883906912,-1.0378536976164945,-1.130471832493927,-1.2729985404704274
008543,2019,4.869956425951428,4.519699382875475,-12.090693745960554,4,-1.563109470986508,-0.7510986979324599,-2.520072341371256,-1.611426836763408,-2.508035711160847
008543,2020,10.861938985992655,4.971554524035798,-8.76878530658233,4,-0.6706108664684313,-0.5448483467664166,-1.1076791605816185,-0.7743794579388221,-1.0241008829497689
008543,2021,7.189623482449318,3.235562475546238,-7.7147285384510536,4,-1.2175978493944928,-1.337246035775759,-0.659520333015488,-1.0714547393952465,-0.8406158904559506
008543,2022,11.913098336062637,5.232385930139134,-9.744524425664304,3,-0.5140419439685746,-0.4257912326528071,-1.5225392637935595,-0.8207908134716471,-1.2357500364282141
008762,2018,24.921676959974263,5.717536992557009,-6.179522742773344,2,1.4235702156577594,-0.20434287923734296,-0.006788857571878148,0.40414615961617945,1.0131322855797522
008762,2022,14.014751795413838,5.040614483580779,-7.097819330418072,3,-0.20100318578523466,-0.5133257643939143,-0.397225819336716,-0.3705182565052883,-0.24118552446414862
009777,2018,18.913013398519475,6.715190126921206,-4.971646941304556,2,0.5285869960169934,0.25103826078051733,0.5067700126884511,0.4287984231619873,0.616552453886676
009777,2019,18.595819948269572,7.7165042289323695,-4.7459155637352195,4,0.4813414126272506,0.7080904581661338,0.6027454027954875,0.5973924245296239,0.5062970238511675
009777,2020,12.48264577367742,7.932707757977221,-6.625250788514527,4,-0.4292085372981548,0.806777071920998,-0.19630138140572986,0.06042238440570446,-0.6724418210445762
009777,2021,16.53331943912333,7.307296872095138,-5.6130974963049525,4,0.17413443934490846,0.5213067893321844,0.2340411261975685,0.3098274516248871,0.11084844506008008
009777,2022,13.087905429007193,7.96978970795576,-7.172322304661948,4,-0.3390558386979777,0.8237032159621072,-0.4289026384576829,0.018581579602148863,-0.7739096859727634
010115,2018,20.89142619183059,6.719381930232827,-4.626983909199618,4,0.8232692050350937,0.2529516193467622,0.6533121962250963,0.576511006868984,0.912001006235404
010115,2019,17.39095107168319,6.7799522460213595,-6.662667959186027,4,0.3018776407945753,0.28059908368576014,-0.21221023550730803,0.12342216299100917,-0.028518681764774942
010115,2020,10.717327322307323,7.404536333598484,-7.08708857818247,4,-0.6921506000612654,0.5656919722267751,-0.39266336929966944,-0.17304066571138654,-0.9052223450577042
010115,2021,17.57580529758403,6.962452762553072,-5.910728797744115,4,0.32941145568849467,0.36390187742180535,0.10749566950794912,0.26693633420608304,0.1790143286524662
010115,2022,11.992687646519451,7.954262057548831,-4.1432421675510325,3,-0.502187211781775,0.8166155830959884,0.8589872019141901,0.39113852440946784,-0.014119183385265091
010867,2018,17.191871726352417,4.327468336670891,-4.721897216676018,4,0.2722250114493282,-0.8388430150224447,0.6129574090019575,0.01544646847628032,0.8577658845062328
010867,2019,8.414435204658576,4.4675062296385315,-4.693927585854183,4,-1.0351636146624035,-0.7749223865507623,0.6248494031862875,-0.3950788660089594,-0.030102099369506488
010867,2020,14.094781147604976,5.427291085250834,-4.814460874378467,4,-0.18908290991070256,-0.33682631220809933,0.5736016346590753,0.015897470846757817,0.3649449928592618
