permno,start,ending,gvkey
87717,2007-10-10,2024-12-31,004494
87842,2000-12-11,2024-12-31,133768
88031,2012-06-29,2024-12-31,024316
88352,2008-06-02,2024-12-31,136725
88446,2015-11-19,2024-06-21,138205
88661,2004-09-01,2024-12-31,140541
88668,2002-08-14,2018-06-06,140760
88837,2012-12-12,2024-12-31,141459
88845,2000-12-14,2018-11-30,001177
88853,2000-12-22,2019-06-03,004818
88860,2017-06-19,2024-12-31,141384
88873,2016-04-25,2024-12-31,141913
89002,2013-12-23,2020-06-19,143974
89003,2006-11-10,2024-12-31,165993
89006,2007-04-02,2024-12-31,142953
89014,2001-07-02,2018-11-30,144066
89017,2016-01-05,2024-12-31,144009
89070,2001-08-07,2024-12-31,144559
89071,2011-07-06,2024-12-31,143357
89179,2002-07-25,2024-12-31,145046
89195,2002-07-22,2024-12-31,145701
89216,2016-05-03,2018-06-15,146017
89217,2015-07-09,2023-08-24,145977
89258,2002-07-22,2024-12-31,143356
89269,2016-03-30,2024-12-31,145552
89393,2010-12-20,2024-12-31,147579
89508,2010-06-28,2024-12-31,064410
89509,2014-06-23,2020-03-02,150699
89525,2002-11-19,2024-12-31,003226
89533,2008-11-14,2024-12-31,149318
89617,2015-03-23,2024-12-31,138743
89626,2006-08-11,2024-12-31,149070
89641,2012-07-02,2024-12-31,150937
89866,2016-05-23,2024-12-31,155394
90038,2007-04-10,2024-12-31,157057
90071,2010-01-29,2024-12-31,135990
90199,2006-11-10,2024-12-31,260774
90215,2008-09-15,2024-12-31,157855
90305,2016-01-19,2024-12-31,160479
90319,2006-04-03,2024-12-31,160329
90373,2016-05-18,2024-12-31,160991
90386,2011-09-26,2024-12-31,162129
90441,2004-12-20,2019-03-19,012886
90601,2008-10-22,2024-12-31,149337
90805,2010-03-01,2022-04-08,164296
90808,2007-10-02,2024-12-31,126296
90829,2008-08-27,2024-12-31,163946
90880,2005-10-03,2024-12-31,164708
90979,2014-05-01,2022-06-17,165052
90993,2007-09-26,2024-12-31,163610
91063,2006-01-03,2019-12-04,165675
91068,2011-04-28,2024-12-31,165914
91103,2015-09-03,2024-12-31,010795
91152,2016-06-03,2024-12-31,148349
91233,2008-07-18,2024-12-31,160225
91392,2006-08-01,2018-05-30,174729
91416,2015-03-23,2021-12-17,175319
91461,2006-10-02,2021-12-17,175263
91556,2009-12-21,2024-12-31,009248
91926,2013-09-11,2024-12-31,003851
92121,2007-07-02,2024-12-31,177376
92157,2011-10-17,2024-12-31,177267
92239,2016-02-22,2021-01-20,177884
92322,2016-04-18,2024-12-31,178704
92602,2008-03-31,2024-12-31,179621
92611,2009-12-21,2024-12-31,179534
92614,2016-03-04,2024-12-31,179437
92618,2008-10-07,2018-06-29,179700
92655,1994-07-01,2024-12-31,010903
92709,2008-07-01,2018-03-06,180167
93002,2014-05-08,2024-12-31,180711
93089,2015-10-08,2024-12-31,180652
93096,2012-12-03,2024-12-31,004016
93429,2017-03-01,2024-12-31,184500
