permno,start,ending,gvkey,sic,conm
85348,1997-10-07,2024-12-31,065417,5812,YUM BRANDS INC
85459,2007-03-02,2024-12-31,065609,4213,C H ROBINSON WORLDWIDE INC
85592,2011-06-03,2024-12-31,029984,6798,PROLOGIS INC
85593,2014-07-01,2019-12-20,065886,6282,AFFILIATED MANAGERS GRP INC
85621,2016-09-06,2024-12-31,065772,3826,METTLER-TOLEDO INTL INC
85631,1989-12-21,2024-12-31,001878,7370,AUTODESK INC
85663,2014-09-22,2024-12-31,066065,7350,UNITED RENTALS INC
85675,2016-12-02,2018-10-10,065967,8011,ENVISION HEALTHCARE CORP
85753,2006-02-01,2024-12-31,066368,7370,VERISIGN INC
85792,2009-07-01,2024-12-31,066446,1731,QUANTA SERVICES INC
85913,1998-05-21,2024-12-31,028930,7011,MARRIOTT INTL INC
85914,1999-06-30,2024-12-31,002184,5731,BEST BUY CO INC
85926,1998-04-01,2023-12-15,009555,3081,SEALED AIR CORP
86021,2004-12-01,2019-06-28,110685,3812,L3 TECHNOLOGIES INC
86111,2007-11-19,2024-12-31,105365,6798,AMERICAN TOWER CORP
86136,1998-06-30,2024-12-31,008272,4923,SEMPRA ENERGY
86158,2006-11-17,2024-12-31,111864,7370,COGNIZANT TECH SOLUTIONS
86228,2008-12-05,2024-12-31,112168,4953,REPUBLIC SERVICES INC
86314,2001-09-04,2018-09-14,024318,6351,XL GROUP LTD
86339,2012-03-14,2024-12-31,113490,6798,CROWN CASTLE INC
86356,2002-07-22,2024-12-31,114524,5961,EBAY INC
86580,2001-11-30,2024-12-31,117768,3674,NVIDIA CORP
86783,2009-11-06,2024-12-31,119314,4700,BOOKING HOLDINGS INC
86868,2002-07-22,2024-12-31,114628,6211,GOLDMAN SACHS GROUP INC
86964,2010-12-20,2024-12-31,121077,7373,F5 INC
86979,2006-06-02,2024-12-31,121718,3576,JUNIPER NETWORKS INC
86996,2017-09-01,2024-12-31,121382,6798,SBA COMMUNICATIONS CORP
87055,1993-10-22,2024-12-31,029028,5399,COSTCO WHOLESALE CORP
87137,2000-08-30,2024-12-31,014934,1311,DEVON ENERGY CORP
87184,2009-07-27,2019-07-12,122841,7372,RED HAT INC
87267,2011-04-04,2024-12-31,124434,6282,BLACKROCK INC
87299,2007-07-12,2024-12-31,125595,7370,AKAMAI TECHNOLOGIES INC
87432,2000-06-05,2024-12-31,126554,3826,AGILENT TECHNOLOGIES INC
87447,2002-07-22,2024-12-31,010920,4210,UNITED PARCEL SERVICE INC
87541,2017-07-26,2024-12-31,128978,2650,PACKAGING CORP OF AMERICA
87657,2011-04-01,2024-12-31,133366,3842,EDWARDS LIFESCIENCES CORP
87717,2007-10-10,2024-12-31,004494,4731,EXPEDITORS INTL WASH INC
87842,2000-12-11,2024-12-31,133768,6311,METLIFE INC
88031,2012-06-29,2024-12-31,024316,2086,MONSTER BEVERAGE CORP
88352,2008-06-02,2024-12-31,136725,3845,INTUITIVE SURGICAL INC
88446,2015-11-19,2024-06-21,138205,3826,ILLUMINA INC
88661,2004-09-01,2024-12-31,140541,3100,TAPESTRY INC
88668,2002-08-14,2018-06-06,140760,100,MONSANTO CO
88837,2012-12-12,2024-12-31,141459,3812,GARMIN LTD
88845,2000-12-14,2018-11-30,001177,6324,AETNA INC
88853,2000-12-22,2019-06-03,004818,1600,FLUOR CORP
88860,2017-06-19,2024-12-31,141384,3843,ALIGN TECHNOLOGY INC
88873,2016-04-25,2024-12-31,141913,7374,GLOBAL PAYMENTS INC
89002,2013-12-23,2020-06-19,143974,6141,BREAD FINANCIAL HOLDINGS INC
89003,2006-11-10,2024-12-31,165993,7374,FIDELITY NATIONAL INFO SVCS
89006,2007-04-02,2024-12-31,142953,2052,MONDELEZ INTERNATIONAL INC
89014,2001-07-02,2018-11-30,144066,3728,ROCKWELL COLLINS
89017,2016-01-05,2024-12-31,144009,6411,WILLIS TOWERS WATSON PLC
89070,2001-08-07,2024-12-31,144559,3842,ZIMMER BIOMET HOLDINGS INC
89071,2011-07-06,2024-12-31,143357,8742,ACCENTURE PLC
89179,2002-07-25,2024-12-31,145046,6324,ELEVANCE HEALTH INC
89195,2002-07-22,2024-12-31,145701,6282,PRINCIPAL FINANCIAL GRP INC
89216,2016-05-03,2018-06-15,146017,3640,ACUITY INC
89217,2015-07-09,2023-08-24,145977,5531,ADVANCE AUTO PARTS INC
89258,2002-07-22,2024-12-31,143356,6311,PRUDENTIAL FINANCIAL INC
89269,2016-03-30,2024-12-31,145552,6324,CENTENE CORP
89393,2010-12-20,2024-12-31,147579,7841,NETFLIX INC
89508,2010-06-28,2024-12-31,064410,5500,CARMAX INC
89509,2014-06-23,2020-03-02,150699,1311,CIMAREX ENERGY CO
89525,2002-11-19,2024-12-31,003226,4841,COMCAST CORP
89533,2008-11-14,2024-12-31,149318,7990,WYNN RESORTS LTD
89617,2015-03-23,2024-12-31,138743,6798,EQUINIX INC
89626,2006-08-11,2024-12-31,149070,6200,CME GROUP INC
89641,2012-07-02,2024-12-31,150937,3572,SEAGATE TECHNOLOGY HOLDINGS
89866,2016-05-23,2024-12-31,155394,5010,LKQ CORP
90038,2007-04-10,2024-12-31,157057,6351,ASSURANT INC
90071,2010-01-29,2024-12-31,135990,4911,NRG ENERGY INC
90199,2006-11-10,2024-12-31,260774,6531,CBRE GROUP INC
90215,2008-09-15,2024-12-31,157855,7372,SALESFORCE INC
90305,2016-01-19,2024-12-31,160479,6798,EXTRA SPACE STORAGE INC
90319,2006-04-03,2024-12-31,160329,7370,ALPHABET INC
90373,2016-05-18,2024-12-31,160991,6798,DIGITAL REALTY TRUST INC
90386,2011-09-26,2024-12-31,162129,2870,MOSAIC CO
90441,2004-12-20,2019-03-19,012886,4888,TWENTY-FIRST CENTURY FOX INC
90601,2008-10-22,2024-12-31,149337,6200,NASDAQ INC
90805,2010-03-01,2022-04-08,164296,4841,WARNER BROS DISCOVERY INC
90808,2007-10-02,2024-12-31,126296,4700,EXPEDIA GROUP INC
90829,2008-08-27,2024-12-31,163946,2870,CF INDUSTRIES HOLDINGS INC
90880,2005-10-03,2024-12-31,164708,6282,AMERIPRISE FINANCIAL INC
90979,2014-05-01,2022-06-17,165052,2300,UNDER ARMOUR INC
90993,2007-09-26,2024-12-31,163610,6200,INTERCONTINENTAL EXCHANGE
91063,2006-01-03,2019-12-04,165675,4833,VIACOM INC
91068,2011-04-28,2024-12-31,165914,5812,CHIPOTLE MEXICAN GRILL INC
91103,2015-09-03,2024-12-31,010795,4512,UNITED AIRLINES HOLDINGS INC
91152,2016-06-03,2024-12-31,148349,3728,TRANSDIGM GROUP INC
91233,2008-07-18,2024-12-31,160225,7389,MASTERCARD INC
91392,2006-08-01,2018-05-30,174729,6531,TRAVEL PLUS LEISURE CO
91416,2015-03-23,2021-12-17,175319,2300,HANESBRANDS INC
91461,2006-10-02,2021-12-17,175263,6099,WESTERN UNION CO
91556,2009-12-21,2024-12-31,009248,5651,ROSS STORES INC
91926,2013-09-11,2024-12-31,003851,4512,DELTA AIR LINES INC
92121,2007-07-02,2024-12-31,177376,6141,DISCOVER FINANCIAL SVCS
92157,2011-10-17,2024-12-31,177267,3678,TE CONNECTIVITY PLC
92239,2016-02-22,2021-01-20,177884,1311,CONCHO RESOURCES INC
92322,2016-04-18,2024-12-31,178704,5990,ULTA BEAUTY INC
92602,2008-03-31,2024-12-31,179621,2111,PHILIP MORRIS INTERNATIONAL
92611,2009-12-21,2024-12-31,179534,6099,VISA INC
92614,2016-03-04,2024-12-31,179437,4941,AMERICAN WATER WORKS CO INC
92618,2008-10-07,2018-06-29,179700,2086,DR PEPPER SNAPPLE GROUP INC
92655,1994-07-01,2024-12-31,010903,6324,UNITEDHEALTH GROUP INC
92709,2008-07-01,2018-03-06,180167,4833,SCRIPPS NETWORKS INTERACTIVE
93002,2014-05-08,2024-12-31,180711,3674,BROADCOM INC
93089,2015-10-08,2024-12-31,180652,8742,VERISK ANALYTICS INC
93096,2012-12-03,2024-12-31,004016,5331,DOLLAR GENERAL CORP
93429,2017-03-01,2024-12-31,184500,6200,CBOE GLOBAL MARKETS INC
