companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates
31148,2278116,2021-05-10,"Marriott International, Inc., Q1 2021 Earnings Call, May 10, 2021",Edited Copy,Final,2021-05-10,2606,0,1.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D."
31148,2361152,2021-08-03,"Marriott International, Inc., Q2 2021 Earnings Call, Aug 03, 2021",Edited Copy,Final,2021-08-03,4131,0,2.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D."
31148,2422979,2021-11-03,"Marriott International, Inc., Q3 2021 Earnings Call, Nov 03, 2021",Edited Copy,Final,2021-11-03,3750,0,3.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D."
31148,2494367,2022-02-15,"Marriott International, Inc., Q4 2021 Earnings Call, Feb 15, 2022",Edited Copy,Final,2022-02-15,4121,0,4.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D."
33328,1372788,2018-01-23,"The Procter & Gamble Company, Q2 2018 Earnings Call, Jan 23, 2018",Audited Copy,Final,2018-01-24,3829,0,2.0,2018.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor
33328,1574093,2018-10-19,"The Procter & Gamble Company, Q1 2019 Earnings Call, Oct 19, 2018",Audited Copy,Final,2018-10-22,3397,0,1.0,2019.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor
33328,1640278,2019-01-23,"The Procter & Gamble Company, Q2 2019 Earnings Call, Jan 23, 2019",Audited Copy,Final,2019-01-25,4054,0,2.0,2019.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor
33328,1703088,2019-04-23,"The Procter & Gamble Company, Q3 2019 Earnings Call, Apr 23, 2019",Audited Copy,Final,2019-04-24,3775,0,3.0,2019.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor
33328,1836324,2019-10-22,"The Procter & Gamble Company, Q1 2020 Earnings Call, Oct 22, 2019",Audited Copy,Final,2019-10-23,3473,0,1.0,2020.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor
33328,1894314,2020-01-23,"The Procter & Gamble Company, Q2 2020 Earnings Call, Jan 23, 2020",Proofed Copy,Final,2020-01-28,3502,0,2.0,2020.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor
