gvkey,datadate,fyear,at,dltt,dlc,oibdp,ppent,che,prcc_f,csho,dltis,dltr,sstk,prstkc,sich
005783,2020-12-31,2020,5928.348,1392.624,48.3,1265.383,3825.694,313.302,136.65,105.654,,,0.0,,4213
005783,2021-12-31,2021,6794.348,1069.357,414.172,1599.263,4251.255,355.549,204.4,105.094,0.0,0.0,0.0,180.191,4213
005783,2022-12-31,2022,7786.582,1485.238,86.0,2045.551,5289.717,51.927,174.36,103.743,,,0.0,,4213
005783,2023-12-31,2023,8538.26,1579.007,349.861,1758.956,6124.113,53.344,199.74,103.22,,,0.0,,4213
005878,2017-12-31,2017,16780.0,7478.0,850.0,3861.0,1778.0,3094.0,166.85,341.5,0.0,652.0,84.0,1000.0,3560
005878,2018-12-31,2018,14870.0,6029.0,1351.0,4045.0,1791.0,1504.0,126.69,328.1,0.0,1.0,22.0,2000.0,3560
005878,2019-12-31,2019,15068.0,7882.0,55.0,3828.0,1935.0,1981.0,179.63,319.8,1774.0,1351.0,85.0,1500.0,3560
005878,2020-12-31,2020,15612.0,7905.0,405.0,3309.0,1993.0,2564.0,203.88,316.7,0.0,4.0,66.0,706.0,3560
005878,2021-12-31,2021,16077.0,7042.0,839.0,3887.0,2031.0,1527.0,246.8,312.9,90.0,351.0,50.0,1000.0,3560
005878,2022-12-31,2022,15422.0,6304.0,1645.0,4200.0,2060.0,708.0,220.3,305.0,593.0,1113.0,29.0,1750.0,3560
005878,2023-12-31,2023,15518.0,6487.0,1883.0,4435.0,2224.0,1065.0,261.94,299.3,1425.0,679.0,53.0,1500.0,3560
005959,2017-12-31,2017,18173.3,2957.0,1107.0,2080.2,1551.3,1549.4,89.19,249.479,0.0,0.0,76.7,1016.9,3585
005959,2018-12-31,2018,17914.9,3740.7,350.6,2367.5,1730.8,903.4,91.23,241.905,1147.0,1123.0,68.9,900.2,3585
005959,2019-12-31,2019,20492.3,5317.3,822.5,2628.0,2366.2,1303.6,132.92,238.305,1497.9,7.5,116.8,750.1,3585
005959,2020-12-31,2020,18156.7,4773.0,914.4,1929.1,1758.5,3289.9,145.16,238.808,0.0,307.5,64.5,250.0,3585
005959,2021-12-31,2021,18059.8,4787.7,497.7,2360.4,1835.6,2159.2,202.03,235.195,0.0,432.5,78.3,1100.3,3585
005959,2022-12-31,2022,18081.6,4101.8,1203.8,2697.1,1998.6,1220.5,168.09,228.827,0.0,9.6,2.6,1200.2,3585
005959,2023-12-31,2023,19391.9,4345.2,957.3,3219.8,2285.3,1095.3,243.9,227.173,699.2,754.6,79.3,669.3,3585
006008,2017-12-31,2017,123249.0,25037.0,1739.0,26617.0,41109.0,14002.0,46.16,4687.0,7716.0,8080.0,770.0,3615.0,3674
006008,2018-12-31,2018,127963.0,25098.0,1261.0,32329.0,48976.0,11650.0,46.93,4516.0,423.0,3026.0,555.0,10730.0,3674
006008,2019-12-31,2019,136524.0,25683.0,3868.0,33254.0,56014.0,13123.0,59.85,4290.0,3392.0,2627.0,750.0,13576.0,3674
006008,2020-12-31,2020,153091.0,34251.0,2677.0,36115.0,57188.0,23895.0,49.82,4062.0,10247.0,4525.0,897.0,14229.0,3674
006008,2021-12-31,2021,168406.0,33805.0,4771.0,33874.0,63794.0,28413.0,51.5,4070.0,4974.0,2500.0,1020.0,2415.0,3674
006008,2022-12-31,2022,182103.0,37920.0,4540.0,15814.0,81347.0,28338.0,26.43,4137.0,6548.0,5329.0,977.0,0.0,3674
